Bug Report ID,File,Rank
2,io.github.zwieback.familyfinance.business.chart.fragment.PieChartFragment.java,13
2,io.github.zwieback.familyfinance.business.chart.fragment.HorizontalBarChartFragment.java,19
8,de.koelle.christian.trickytripper.TrickyTripperActivity.java,1
10,me.zhanghai.android.files.ftpserver.FtpServerStatePreference.java,34
10,me.zhanghai.android.files.ftpserver.FtpServerReceiver.java,37
10,me.zhanghai.android.files.ftpserver.FtpServerService.java,44
18,es.usc.citius.servando.calendula.fragments.MedicineCreateOrEditFragment.java,1
18,es.usc.citius.servando.calendula.fragments.RoutineCreateOrEditFragment.java,13
18,es.usc.citius.servando.calendula.fragments.ScheduleTimetableFragment.java,16
19,de.westnordost.streetcomplete.quests.housenumber.AddHousenumberForm.java,2
44,it.feio.android.omninotes.utils.TagsHelper.java,56
53,net.gsantner.markor.ui.NewFileDialog.java,2
117,openfoodfacts.github.scrachx.openfood.views.product.nutrition.NutritionProductFragment.java,2
128,org.shadowice.flocke.andotp.Activities.SettingsActivity.java,1
128,org.shadowice.flocke.andotp.Utilities.Settings.java,4
128,org.shadowice.flocke.andotp.Activities.MainActivity.java,6
129,org.shadowice.flocke.andotp.Dialogs.ManualEntryDialog.java,5
130,org.shadowice.flocke.andotp.Activities.IntroScreenActivity.java,1
135,fr.free.nrw.commons.category.SubCategoryListFragment.java,2
135,fr.free.nrw.commons.explore.categories.rchCategoryFragment.java,14
135,fr.free.nrw.commons.explore.categories.rchCategoriesAdapterFactory.java,29
135,fr.free.nrw.commons.explore.categories.rchCategoriesRenderer.java,32
191,ch.logixisland.anuto.view.game.TowerView.java,9
191,ch.logixisland.anuto.business.control.TowerInserter.java,26
206,org.gnucash.android.ui.settings.BookManagerFragment.java,2
209,org.gnucash.android.ui.util.widget.CalculatorEditText.java,11
256,org.gnucash.android.ui.account.AccountsListFragment.java,6
1073,org.mozilla.focus.browser.LocalizedContent.java,77
1202,swati4star.createpdf.activity.ImageEditor.java,1
1205,swati4star.createpdf.fragment.MergeFilesFragment.java,1
1205,swati4star.createpdf.activity.MainActivity.java,3
1205,swati4star.createpdf.fragment.InvertPdfFragment.java,4
1205,swati4star.createpdf.fragment.RemoveDuplicatePagesFragment.java,6
1205,swati4star.createpdf.fragment.PdfToImageFragment.java,10
1205,swati4star.createpdf.fragment.RemovePagesFragment.java,11
1205,swati4star.createpdf.fragment.SplitFilesFragment.java,13
1205,swati4star.createpdf.fragment.AddImagesFragment.java,15
1207,org.shadowice.flocke.andotp.View.ManualEntryDialog.java,13
1214,org.shadowice.flocke.andotp.Activities.IntroScreenActivity.java,1
1215,org.shadowice.flocke.andotp.Dialogs.ManualEntryDialog.java,17
1224,org.gnucash.android.ui.account.AccountFormFragment.java,3
1299,com.fieldbook.tracker.activities.ConfigActivity.java,2
1399,org.fossasia.phimpme.gallery.activities.SettingsActivity.java,1
1430,com.easyfitness.programs.ProgramRunnerFragment.java,4
1430,com.easyfitness.programs.ProgramPagerFragment.java,5
1441,com.cohenadair.anglerslog.locations.ManageFishingSpotFragment.java,5
1445,com.cohenadair.anglerslog.model.Logbook.java,46
1481,com.hexforhn.hex.StoryActivity.java,1
54,net.gsantner.markor.util.AppSettings.java,6
76,com.genonbeta.TrebleShot.fragment.FileListFragment.java,2
76,com.genonbeta.TrebleShot.adapter.FileListAdapter.java,8
92,com.vrem.wifianalyzer.vendor.model.VendorDB.java,14
158,com.ichi2.anki.AbstractFlashcardViewer.java,3
158,com.ichi2.themes.Themes.java,12
160,com.ichi2.anki.Reviewer.java,1
162,com.fsck.k9.activity.setup.AccountSetupBasics.java,1
192,net.gsantner.markor.activity.DocumentEditFragment.java,2
199,org.inaturalist.android.ObservationListActivity.java,2
200,org.inaturalist.android.ObservationListActivity.java,2
248,org.odk.collect.android.preferences.GeneralPreferencesFragment.java,48
1198,swati4star.createpdf.adapter.ViewFilesAdapter.java,3
1228,org.gnucash.android.ui.transaction.TransactionDetailActivity.java,1
1389,org.y20k.transistor.core.Station.java,7
1389,org.y20k.transistor.helpers.StationFetcher.java,10
1389,org.y20k.transistor.PlayerActivityFragment.java,12
1425,com.easyfitness.WeightFragment.java,4
1425,com.easyfitness.DAO.bodymeasures.DAOBodyMeasure.java,55
1446,com.cohenadair.anglerslog.locations.ManageLocationFragment.java,5
1563,io.lerk.lrkFM.activities.FileActivity.java,1
1568,io.lerk.lrkFM.adapter.FileArrayAdapter.java,1
11,com.droidheat.musicplayer.MusicPlayback.java,1
11,com.droidheat.musicplayer.SplashActivity.java,2
11,com.droidheat.musicplayer.PlayActivity.java,3
11,com.droidheat.musicplayer.SongsManager.java,4
11,com.droidheat.musicplayer.HomeFragment.java,8
11,com.droidheat.musicplayer.MusicDockFragment.java,14
11,com.droidheat.musicplayer.QueueFragment.java,24
55,com.fieldbook.tracker.traits.MultiCatTraitLayout.java,6
55,com.fieldbook.tracker.traits.CategoricalTraitLayout.java,7
56,com.fieldbook.tracker.traits.LabelPrintTraitLayout.java,2
227,org.gnucash.android.ui.transaction.TransactionFormFragment.java,8
227,org.gnucash.android.ui.transaction.SplitEditorFragment.java,20
227,org.gnucash.android.model.Transaction.java,30
227,org.gnucash.android.importer.GncXmlHandler.java,37
227,org.gnucash.android.db.adapter.AccountsDbAdapter.java,39
227,org.gnucash.android.model.Split.java,52
227,org.gnucash.android.receivers.TransactionRecorder.java,69
1213,org.shadowice.flocke.andotp.Preferences.CredentialsPreference.java,1
1213,org.shadowice.flocke.andotp.Preferences.PasswordEncryptedPreference.java,2
1213,org.shadowice.flocke.andotp.Dialogs.PasswordEntryDialog.java,3
1222,org.gnucash.android.ui.util.RecurrenceParser.java,22
1222,org.gnucash.android.model.Recurrence.java,49
1222,org.gnucash.android.db.adapter.RecurrenceDbAdapter.java,82
1428,com.easyfitness.bodymeasures.BodyPartDetailsFragment.java,1
1428,com.easyfitness.ValueEditorDialogbox.java,5
1428,com.easyfitness.fonte.FonteGraphFragment.java,12
1428,com.easyfitness.DAO.bodymeasures.BodyPart.java,16
1428,com.easyfitness.machines.MachineDetailsFragment.java,31
1428,com.easyfitness.graph.DateGraph.java,39
1428,com.easyfitness.machines.MachineFragment.java,44
1428,com.easyfitness.DAO.bodymeasures.BodyPartExtensions.java,64
1428,com.easyfitness.machines.MachineCursorAdapter.java,79
1428,com.easyfitness.machines.MachineArrayFullAdapter.java,82
84,org.moire.ultrasonic.util.Util.java,7
84,org.moire.ultrasonic.util.Constants.java,16
87,org.moire.ultrasonic.util.BackgroundTask.java,32
159,com.ichi2.anki.CardBrowser.java,1
193,com.alexstyl.specialdates.addevent.ui.BirthdayDatePicker.java,3
193,com.alexstyl.specialdates.addevent.BirthdayPickerDialog.java,7
193,com.alexstyl.specialdates.contact.Birthday.java,23
275,com.beemdevelopment.aegis.ui.slides.CustomAuthenticatedSlide.java,6
275,com.beemdevelopment.aegis.ui.Dialogs.java,16
1028,com.ichi2.anki.web.HttpFetcher.java,89
1089,com.chess.clock.fragments.TimeControlFragment.java,1
1130,de.danoeh.antennapod.fragment.QueueFragment.java,2
1130,de.danoeh.antennapod.fragment.AllEpisodesFragment.java,22
1402,org.fossasia.phimpme.share.SharingActivity.java,1
1402,org.fossasia.phimpme.MyApplication.java,123
1403,org.fossasia.phimpme.editor.FileUtils.java,69
71,fr.neamar.kiss.forwarder.ExperienceTweaks.java,4
201,org.inaturalist.android.ObservationListActivity.java,1
1641,com.german_software_engineers.trainerapp.GeneralTrainingScheduleEditor.java,1
1641,com.german_software_engineers.trainerapp.ExerciseViewActivity.java,4
1641,com.german_software_engineers.trainerappmodel.Legacy.Schedule.java,5
1641,com.german_software_engineers.trainerappmodel.Model.XMLParser.java,6
1641,com.german_software_engineers.trainerappmodel.Enumerations.TrainingsTypes.java,38
1096,org.inaturalist.android.RecordSoundActivity.java,1
1146,com.android.gpstest.GpsStatusFragment.java,1
1147,com.android.gpstest.NavigationDrawerFragment.java,3
1151,com.android.gpstest.Preferences.java,1
1151,com.android.gpstest.GpsTestActivity.java,2
1223,org.gnucash.android.ui.transaction.TransactionFormFragment.java,3
1645,com.german_software_engineers.trainerapp.ExerciseDialog.java,1
106,com.poupa.vinylmusicplayer.loader.SongLoader.java,61
106,com.poupa.vinylmusicplayer.util.FileUtil.java,162
110,com.poupa.vinylmusicplayer.provider.Discography.java,63
271,com.beemdevelopment.aegis.ui.views.TotpProgressBar.java,14
1406,org.fossasia.phimpme.gallery.activities.SingleMediaActivity.java,2
45,it.feio.android.omninotes.helpers.GeocodeProviderBaseFactory.java,52
1640,com.german_software_engineers.trainerapp.InfoActivity.java,5
1150,com.android.gpstest.HelpActivity.java,2
