Bug Report ID,File,Rank
2,io.github.zwieback.familyfinance.business.chart.fragment.PieChartFragment.java,9
2,io.github.zwieback.familyfinance.business.chart.fragment.HorizontalBarChartFragment.java,10
8,de.koelle.christian.trickytripper.TrickyTripperActivity.java,3
10,me.zhanghai.android.files.ftpserver.FtpServerService.java,375
10,me.zhanghai.android.files.ftpserver.FtpServerStatePreference.java,379
10,me.zhanghai.android.files.ftpserver.FtpServerReceiver.java,384
18,es.usc.citius.servando.calendula.fragments.MedicineCreateOrEditFragment.java,1
18,es.usc.citius.servando.calendula.fragments.ScheduleTimetableFragment.java,44
18,es.usc.citius.servando.calendula.fragments.RoutineCreateOrEditFragment.java,63
19,de.westnordost.streetcomplete.quests.housenumber.AddHousenumberForm.java,1
44,it.feio.android.omninotes.utils.TagsHelper.java,146
53,net.gsantner.markor.ui.NewFileDialog.java,3
128,org.shadowice.flocke.andotp.Activities.SettingsActivity.java,1
128,org.shadowice.flocke.andotp.Activities.MainActivity.java,16
128,org.shadowice.flocke.andotp.Utilities.Settings.java,22
129,org.shadowice.flocke.andotp.Dialogs.ManualEntryDialog.java,2
130,org.shadowice.flocke.andotp.Activities.IntroScreenActivity.java,1
135,fr.free.nrw.commons.category.SubCategoryListFragment.java,4
135,fr.free.nrw.commons.explore.categories.rchCategoryFragment.java,9
135,fr.free.nrw.commons.explore.categories.rchCategoriesRenderer.java,18
135,fr.free.nrw.commons.explore.categories.rchCategoriesAdapterFactory.java,26
206,org.gnucash.android.ui.settings.BookManagerFragment.java,24
209,org.gnucash.android.ui.util.widget.CalculatorEditText.java,9
256,org.gnucash.android.ui.account.AccountsListFragment.java,34
1202,swati4star.createpdf.activity.ImageEditor.java,1
1205,swati4star.createpdf.fragment.RemoveDuplicatePagesFragment.java,2
1205,swati4star.createpdf.fragment.InvertPdfFragment.java,3
1205,swati4star.createpdf.fragment.SplitFilesFragment.java,4
1205,swati4star.createpdf.fragment.PdfToImageFragment.java,5
1205,swati4star.createpdf.fragment.MergeFilesFragment.java,6
1205,swati4star.createpdf.fragment.RemovePagesFragment.java,7
1205,swati4star.createpdf.fragment.AddImagesFragment.java,8
1205,swati4star.createpdf.activity.MainActivity.java,9
1207,org.shadowice.flocke.andotp.View.ManualEntryDialog.java,2
1214,org.shadowice.flocke.andotp.Activities.IntroScreenActivity.java,10
1215,org.shadowice.flocke.andotp.Dialogs.ManualEntryDialog.java,1
1224,org.gnucash.android.ui.account.AccountFormFragment.java,2
1299,com.fieldbook.tracker.activities.ConfigActivity.java,4
1399,org.fossasia.phimpme.gallery.activities.SettingsActivity.java,1
1430,com.easyfitness.programs.ProgramPagerFragment.java,6
1430,com.easyfitness.programs.ProgramRunnerFragment.java,11
1441,com.cohenadair.anglerslog.locations.ManageFishingSpotFragment.java,16
1445,com.cohenadair.anglerslog.model.Logbook.java,92
54,net.gsantner.markor.util.AppSettings.java,29
76,com.genonbeta.TrebleShot.adapter.FileListAdapter.java,4
76,com.genonbeta.TrebleShot.fragment.FileListFragment.java,33
92,com.vrem.wifianalyzer.vendor.model.VendorDB.java,127
160,com.ichi2.anki.Reviewer.java,3
162,com.fsck.k9.activity.setup.AccountSetupBasics.java,1
192,net.gsantner.markor.activity.DocumentEditFragment.java,1
199,org.inaturalist.android.ObservationListActivity.java,2
200,org.inaturalist.android.ObservationListActivity.java,1
248,org.odk.collect.android.preferences.GeneralPreferencesFragment.java,69
1198,swati4star.createpdf.adapter.ViewFilesAdapter.java,3
1228,org.gnucash.android.ui.transaction.TransactionDetailActivity.java,6
1389,org.y20k.transistor.PlayerActivityFragment.java,8
1389,org.y20k.transistor.helpers.StationFetcher.java,13
1389,org.y20k.transistor.core.Station.java,16
1425,com.easyfitness.DAO.bodymeasures.DAOBodyMeasure.java,19
1425,com.easyfitness.WeightFragment.java,42
1446,com.cohenadair.anglerslog.locations.ManageLocationFragment.java,6
1563,io.lerk.lrkFM.activities.FileActivity.java,4
1568,io.lerk.lrkFM.adapter.FileArrayAdapter.java,1
11,com.droidheat.musicplayer.SplashActivity.java,1
11,com.droidheat.musicplayer.MusicDockFragment.java,3
11,com.droidheat.musicplayer.HomeFragment.java,4
11,com.droidheat.musicplayer.MusicPlayback.java,6
11,com.droidheat.musicplayer.PlayActivity.java,8
