Bug Report ID,File,Rank
2,io.github.zwieback.familyfinance.business.chart.fragment.PieChartFragment.java,41
2,io.github.zwieback.familyfinance.business.chart.fragment.HorizontalBarChartFragment.java,45
8,de.koelle.christian.trickytripper.TrickyTripperActivity.java,1
10,me.zhanghai.android.files.ftpserver.FtpServerStatePreference.java,33
10,me.zhanghai.android.files.ftpserver.FtpServerService.java,38
10,me.zhanghai.android.files.ftpserver.FtpServerReceiver.java,40
18,es.usc.citius.servando.calendula.fragments.MedicineCreateOrEditFragment.java,2
18,es.usc.citius.servando.calendula.fragments.RoutineCreateOrEditFragment.java,6
18,es.usc.citius.servando.calendula.fragments.ScheduleTimetableFragment.java,36
19,de.westnordost.streetcomplete.quests.housenumber.AddHousenumberForm.java,1
44,it.feio.android.omninotes.utils.TagsHelper.java,146
53,net.gsantner.markor.ui.NewFileDialog.java,4
117,openfoodfacts.github.scrachx.openfood.views.product.nutrition.NutritionProductFragment.java,3
128,org.shadowice.flocke.andotp.Activities.SettingsActivity.java,1
128,org.shadowice.flocke.andotp.Activities.MainActivity.java,12
128,org.shadowice.flocke.andotp.Utilities.Settings.java,25
129,org.shadowice.flocke.andotp.Dialogs.ManualEntryDialog.java,1
130,org.shadowice.flocke.andotp.Activities.IntroScreenActivity.java,1
135,fr.free.nrw.commons.category.SubCategoryListFragment.java,4
135,fr.free.nrw.commons.explore.categories.SearchCategoryFragment.java,14
135,fr.free.nrw.commons.explore.categories.SearchCategoriesAdapterFactory.java,20
135,fr.free.nrw.commons.explore.categories.SearchCategoriesRenderer.java,64
191,ch.logixisland.anuto.business.control.TowerInserter.java,19
191,ch.logixisland.anuto.view.game.TowerView.java,64
206,org.gnucash.android.ui.settings.BookManagerFragment.java,2
209,org.gnucash.android.ui.util.widget.CalculatorEditText.java,44
256,org.gnucash.android.ui.account.AccountsListFragment.java,18
1073,org.mozilla.focus.browser.LocalizedContent.java,121
1202,swati4star.createpdf.activity.ImageEditor.java,1
1205,swati4star.createpdf.activity.MainActivity.java,3
1205,swati4star.createpdf.fragment.MergeFilesFragment.java,4
1205,swati4star.createpdf.fragment.InvertPdfFragment.java,5
1205,swati4star.createpdf.fragment.RemoveDuplicatePagesFragment.java,6
1205,swati4star.createpdf.fragment.RemovePagesFragment.java,7
1205,swati4star.createpdf.fragment.PdfToImageFragment.java,8
1205,swati4star.createpdf.fragment.SplitFilesFragment.java,9
1205,swati4star.createpdf.fragment.AddImagesFragment.java,10
1207,org.shadowice.flocke.andotp.View.ManualEntryDialog.java,2
1224,org.gnucash.android.ui.account.AccountFormFragment.java,1
1299,com.fieldbook.tracker.activities.ConfigActivity.java,2
1399,org.fossasia.phimpme.gallery.activities.SettingsActivity.java,1
1430,com.easyfitness.programs.ProgramRunnerFragment.java,5
1430,com.easyfitness.programs.ProgramPagerFragment.java,7
1441,com.cohenadair.anglerslog.locations.ManageFishingSpotFragment.java,33
1445,com.cohenadair.anglerslog.model.Logbook.java,92
1481,com.hexforhn.hex.StoryActivity.java,3
54,net.gsantner.markor.util.AppSettings.java,19
76,com.genonbeta.TrebleShot.adapter.FileListAdapter.java,9
76,com.genonbeta.TrebleShot.fragment.FileListFragment.java,33
92,com.vrem.wifianalyzer.vendor.model.VendorDB.java,127
158,com.ichi2.anki.AbstractFlashcardViewer.java,22
158,com.ichi2.themes.Themes.java,118
162,com.fsck.k9.activity.setup.AccountSetupBasics.java,1
192,net.gsantner.markor.activity.DocumentEditFragment.java,2
199,org.inaturalist.android.ObservationListActivity.java,2
200,org.inaturalist.android.ObservationListActivity.java,1
248,org.odk.collect.android.preferences.GeneralPreferencesFragment.java,53
1198,swati4star.createpdf.adapter.ViewFilesAdapter.java,4
1228,org.gnucash.android.ui.transaction.TransactionDetailActivity.java,1
1389,org.y20k.transistor.PlayerActivityFragment.java,4
1389,org.y20k.transistor.helpers.StationFetcher.java,12
1389,org.y20k.transistor.core.Station.java,16
1425,com.easyfitness.WeightFragment.java,28
1425,com.easyfitness.DAO.bodymeasures.DAOBodyMeasure.java,59
1446,com.cohenadair.anglerslog.locations.ManageLocationFragment.java,8
1563,io.lerk.lrkFM.activities.FileActivity.java,4
11,com.droidheat.musicplayer.SplashActivity.java,1
11,com.droidheat.musicplayer.MusicDockFragment.java,3
11,com.droidheat.musicplayer.MusicPlayback.java,5
11,com.droidheat.musicplayer.HomeFragment.java,9
11,com.droidheat.musicplayer.PlayActivity.java,24
11,com.droidheat.musicplayer.QueueFragment.java,26
11,com.droidheat.musicplayer.SongsManager.java,44
56,com.fieldbook.tracker.traits.LabelPrintTraitLayout.java,16
227,org.gnucash.android.ui.transaction.TransactionFormFragment.java,4
227,org.gnucash.android.ui.transaction.SplitEditorFragment.java,7
227,org.gnucash.android.model.Transaction.java,61
227,org.gnucash.android.db.adapter.AccountsDbAdapter.java,69
227,org.gnucash.android.receivers.TransactionRecorder.java,74
227,org.gnucash.android.importer.GncXmlHandler.java,81
227,org.gnucash.android.model.Split.java,109
1222,org.gnucash.android.ui.util.RecurrenceParser.java,57
1222,org.gnucash.android.db.adapter.RecurrenceDbAdapter.java,68
1222,org.gnucash.android.model.Recurrence.java,69
1428,com.easyfitness.bodymeasures.BodyPartDetailsFragment.java,2
1428,com.easyfitness.DAO.bodymeasures.BodyPart.java,8
1428,com.easyfitness.machines.MachineDetailsFragment.java,12
1428,com.easyfitness.machines.MachineFragment.java,14
1428,com.easyfitness.fonte.FonteGraphFragment.java,23
1428,com.easyfitness.DAO.bodymeasures.BodyPartExtensions.java,33
1428,com.easyfitness.machines.MachineArrayFullAdapter.java,50
1428,com.easyfitness.ValueEditorDialogbox.java,59
1428,com.easyfitness.graph.DateGraph.java,65
1428,com.easyfitness.machines.MachineCursorAdapter.java,94
84,org.moire.ultrasonic.util.Constants.java,7
84,org.moire.ultrasonic.util.Util.java,9
87,org.moire.ultrasonic.util.BackgroundTask.java,33
159,com.ichi2.anki.CardBrowser.java,3
193,com.alexstyl.specialdates.addevent.BirthdayPickerDialog.java,7
193,com.alexstyl.specialdates.contact.Birthday.java,13
193,com.alexstyl.specialdates.addevent.ui.BirthdayDatePicker.java,29
