Bug Report ID,File,Rank
2,io.github.zwieback.familyfinance.business.chart.fragment.PieChartFragment.java,70
2,io.github.zwieback.familyfinance.business.chart.fragment.HorizontalBarChartFragment.java,72
8,de.koelle.christian.trickytripper.TrickyTripperActivity.java,1
10,me.zhanghai.android.files.ftpserver.FtpServerService.java,200
10,me.zhanghai.android.files.ftpserver.FtpServerStatePreference.java,203
10,me.zhanghai.android.files.ftpserver.FtpServerReceiver.java,207
18,es.usc.citius.servando.calendula.fragments.MedicineCreateOrEditFragment.java,1
18,es.usc.citius.servando.calendula.fragments.ScheduleTimetableFragment.java,35
18,es.usc.citius.servando.calendula.fragments.RoutineCreateOrEditFragment.java,48
19,de.westnordost.streetcomplete.quests.housenumber.AddHousenumberForm.java,1
44,it.feio.android.omninotes.utils.TagsHelper.java,93
53,net.gsantner.markor.ui.NewFileDialog.java,2
128,org.shadowice.flocke.andotp.Activities.SettingsActivity.java,1
128,org.shadowice.flocke.andotp.Activities.MainActivity.java,15
128,org.shadowice.flocke.andotp.Utilities.Settings.java,21
130,org.shadowice.flocke.andotp.Activities.IntroScreenActivity.java,1
206,org.gnucash.android.ui.settings.BookManagerFragment.java,2
209,org.gnucash.android.ui.util.widget.CalculatorEditText.java,8
256,org.gnucash.android.ui.account.AccountsListFragment.java,38
1202,swati4star.createpdf.activity.ImageEditor.java,1
1207,org.shadowice.flocke.andotp.View.ManualEntryDialog.java,17
1214,org.shadowice.flocke.andotp.Activities.IntroScreenActivity.java,11
1215,org.shadowice.flocke.andotp.Dialogs.ManualEntryDialog.java,14
1224,org.gnucash.android.ui.account.AccountFormFragment.java,3
1299,com.fieldbook.tracker.activities.ConfigActivity.java,2
1399,org.fossasia.phimpme.gallery.activities.SettingsActivity.java,1
1430,com.easyfitness.programs.ProgramRunnerFragment.java,10
1441,com.cohenadair.anglerslog.locations.ManageFishingSpotFragment.java,23
1445,com.cohenadair.anglerslog.model.Logbook.java,60
92,com.vrem.wifianalyzer.vendor.model.VendorDB.java,32
162,com.fsck.k9.activity.setup.AccountSetupBasics.java,1
192,net.gsantner.markor.activity.DocumentEditFragment.java,1
199,org.inaturalist.android.ObservationListActivity.java,1
200,org.inaturalist.android.ObservationListActivity.java,1
248,org.odk.collect.android.preferences.GeneralPreferencesFragment.java,53
1198,swati4star.createpdf.adapter.ViewFilesAdapter.java,3
1228,org.gnucash.android.ui.transaction.TransactionDetailActivity.java,1
1389,org.y20k.transistor.PlayerActivityFragment.java,7
1389,org.y20k.transistor.helpers.StationFetcher.java,10
1389,org.y20k.transistor.core.Station.java,15
1425,com.easyfitness.DAO.bodymeasures.DAOBodyMeasure.java,11
1425,com.easyfitness.WeightFragment.java,56
1446,com.cohenadair.anglerslog.locations.ManageLocationFragment.java,12
1563,io.lerk.lrkFM.activities.FileActivity.java,1
1568,io.lerk.lrkFM.adapter.FileArrayAdapter.java,6
11,com.droidheat.musicplayer.SplashActivity.java,1
11,com.droidheat.musicplayer.HomeFragment.java,2
11,com.droidheat.musicplayer.MusicPlayback.java,6
11,com.droidheat.musicplayer.PlayActivity.java,7
11,com.droidheat.musicplayer.SongsManager.java,8
11,com.droidheat.musicplayer.MusicDockFragment.java,9
11,com.droidheat.musicplayer.QueueFragment.java,23
55,com.fieldbook.tracker.traits.CategoricalTraitLayout.java,7
55,com.fieldbook.tracker.traits.MultiCatTraitLayout.java,18
56,com.fieldbook.tracker.traits.LabelPrintTraitLayout.java,24
1213,org.shadowice.flocke.andotp.Preferences.PasswordEncryptedPreference.java,4
1213,org.shadowice.flocke.andotp.Dialogs.PasswordEntryDialog.java,5
1213,org.shadowice.flocke.andotp.Preferences.CredentialsPreference.java,6
1222,org.gnucash.android.model.Recurrence.java,78
1428,com.easyfitness.bodymeasures.BodyPartDetailsFragment.java,1
1428,com.easyfitness.machines.MachineFragment.java,4
1428,com.easyfitness.ValueEditorDialogbox.java,6
1428,com.easyfitness.machines.MachineDetailsFragment.java,14
1428,com.easyfitness.machines.MachineCursorAdapter.java,20
1428,com.easyfitness.machines.MachineArrayFullAdapter.java,32
1428,com.easyfitness.fonte.FonteGraphFragment.java,37
1428,com.easyfitness.graph.DateGraph.java,43
1428,com.easyfitness.DAO.bodymeasures.BodyPart.java,66
87,org.moire.ultrasonic.util.BackgroundTask.java,35
159,com.ichi2.anki.CardBrowser.java,9
193,com.alexstyl.specialdates.addevent.ui.BirthdayDatePicker.java,12
193,com.alexstyl.specialdates.addevent.BirthdayPickerDialog.java,100
1130,de.danoeh.antennapod.fragment.QueueFragment.java,1
1130,de.danoeh.antennapod.fragment.AllEpisodesFragment.java,16
1402,org.fossasia.phimpme.share.SharingActivity.java,2
1402,org.fossasia.phimpme.MyApplication.java,116
1403,org.fossasia.phimpme.editor.FileUtils.java,35
201,org.inaturalist.android.ObservationListActivity.java,1
1641,com.german_software_engineers.trainerapp.ExerciseViewActivity.java,1
1641,com.german_software_engineers.trainerapp.GeneralTrainingScheduleEditor.java,3
1223,org.gnucash.android.ui.transaction.TransactionFormFragment.java,2
1645,com.german_software_engineers.trainerapp.ExerciseDialog.java,6
106,com.poupa.vinylmusicplayer.loader.SongLoader.java,13
106,com.poupa.vinylmusicplayer.util.FileUtil.java,133
271,com.beemdevelopment.aegis.ui.views.TotpProgressBar.java,48
1406,org.fossasia.phimpme.gallery.activities.SingleMediaActivity.java,1
45,it.feio.android.omninotes.helpers.GeocodeProviderBaseFactory.java,108
