Bug Report ID,File,Rank
18,es.usc.citius.servando.calendula.fragments.MedicineCreateOrEditFragment.java,1
19,de.westnordost.streetcomplete.quests.housenumber.AddHousenumberForm.java,1
129,org.shadowice.flocke.andotp.Dialogs.ManualEntryDialog.java,1
206,org.gnucash.android.ui.settings.BookManagerFragment.java,8
256,org.gnucash.android.ui.account.AccountsListFragment.java,17
1202,swati4star.createpdf.activity.ImageEditor.java,1
1205,swati4star.createpdf.fragment.InvertPdfFragment.java,1
1205,swati4star.createpdf.fragment.RemoveDuplicatePagesFragment.java,3
1205,swati4star.createpdf.fragment.RemovePagesFragment.java,5
1205,swati4star.createpdf.fragment.MergeFilesFragment.java,6
1205,swati4star.createpdf.fragment.SplitFilesFragment.java,7
1205,swati4star.createpdf.fragment.PdfToImageFragment.java,8
1205,swati4star.createpdf.fragment.AddImagesFragment.java,9
1207,org.shadowice.flocke.andotp.View.ManualEntryDialog.java,1
1215,org.shadowice.flocke.andotp.Dialogs.ManualEntryDialog.java,1
1224,org.gnucash.android.ui.account.AccountFormFragment.java,2
1399,org.fossasia.phimpme.gallery.activities.SettingsActivity.java,1
76,com.genonbeta.TrebleShot.adapter.FileListAdapter.java,2
160,com.ichi2.anki.Reviewer.java,1
162,com.fsck.k9.activity.setup.AccountSetupBasics.java,1
192,net.gsantner.markor.activity.DocumentEditFragment.java,2
1563,io.lerk.lrkFM.activities.FileActivity.java,2
1568,io.lerk.lrkFM.adapter.FileArrayAdapter.java,1
11,com.droidheat.musicplayer.MusicDockFragment.java,1
227,org.gnucash.android.ui.transaction.TransactionFormFragment.java,3
227,org.gnucash.android.ui.transaction.SplitEditorFragment.java,8
1213,org.shadowice.flocke.andotp.Dialogs.PasswordEntryDialog.java,1
1213,org.shadowice.flocke.andotp.Preferences.CredentialsPreference.java,3
1213,org.shadowice.flocke.andotp.Preferences.PasswordEncryptedPreference.java,4
1428,com.easyfitness.bodymeasures.BodyPartDetailsFragment.java,1
159,com.ichi2.anki.CardBrowser.java,2
275,com.beemdevelopment.aegis.ui.slides.CustomAuthenticatedSlide.java,1
275,com.beemdevelopment.aegis.ui.Dialogs.java,2
1130,de.danoeh.antennapod.fragment.QueueFragment.java,1
201,org.inaturalist.android.ObservationListActivity.java,1
1147,com.android.gpstest.NavigationDrawerFragment.java,1
1223,org.gnucash.android.ui.transaction.TransactionFormFragment.java,2
1645,com.german_software_engineers.trainerapp.ExerciseDialog.java,1
106,com.poupa.vinylmusicplayer.loader.SongLoader.java,60
110,com.poupa.vinylmusicplayer.provider.Discography.java,52
1406,org.fossasia.phimpme.gallery.activities.SingleMediaActivity.java,1
45,it.feio.android.omninotes.helpers.GeocodeProviderBaseFactory.java,12
