Bug Report ID,File,Rank
2,bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/PieChartFragment.java,7
2,bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/HorizontalBarChartFragment.java,16
8,bug-8/app/src/main/java/de/koelle/christian/trickytripper/TrickyTripperActivity.java,1
10,bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerService.java,5
10,bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerStatePreference.java,6
10,bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerReceiver.java,12
18,bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/MedicineCreateOrEditFragment.java,1
18,bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/ScheduleTimetableFragment.java,15
18,bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/RoutineCreateOrEditFragment.java,18
19,bug-19/app/src/main/java/de/westnordost/streetcomplete/quests/housenumber/AddHousenumberForm.java,1
44,bug-44/omniNotes/src/main/java/it/feio/android/omninotes/utils/TagsHelper.java,3
53,bug-53/app/src/main/java/net/gsantner/markor/ui/NewFileDialog.java,3
117,bug-117/app/src/main/java/openfoodfacts/github/scrachx/openfood/views/product/nutrition/NutritionProductFragment.java,1
128,bug-128/app/src/main/java/org/shadowice/flocke/andotp/Activities/SettingsActivity.java,1
128,bug-128/app/src/main/java/org/shadowice/flocke/andotp/Activities/MainActivity.java,5
128,bug-128/app/src/main/java/org/shadowice/flocke/andotp/Utilities/Settings.java,10
129,bug-129/app/src/main/java/org/shadowice/flocke/andotp/Dialogs/ManualEntryDialog.java,21
130,bug-130/app/src/main/java/org/shadowice/flocke/andotp/Activities/IntroScreenActivity.java,1
135,bug-135/app/src/main/java/fr/free/nrw/commons/category/SubCategoryListFragment.java,3
135,bug-135/app/src/main/java/fr/free/nrw/commons/explore/categories/rchCategoryFragment.java,14
191,bug-191/app/src/main/java/ch/logixisland/anuto/view/game/TowerView.java,3
206,bug-206/app/src/main/java/org/gnucash/android/ui/settings/BookManagerFragment.java,2
209,bug-209/app/src/main/java/org/gnucash/android/ui/util/widget/CalculatorEditText.java,54
256,bug-256/app/src/main/java/org/gnucash/android/ui/account/AccountsListFragment.java,13
1073,bug-1073/app/src/main/java/org/mozilla/focus/browser/LocalizedContent.java,47
1202,bug-1202/app/src/main/java/swati4star/createpdf/activity/ImageEditor.java,1
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/MergeFilesFragment.java,2
1205,bug-1205/app/src/main/java/swati4star/createpdf/activity/MainActivity.java,3
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/RemoveDuplicatePagesFragment.java,4
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/RemovePagesFragment.java,10
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/InvertPdfFragment.java,13
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/SplitFilesFragment.java,22
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/AddImagesFragment.java,32
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/PdfToImageFragment.java,34
1207,bug-1207/app/src/main/java/org/shadowice/flocke/andotp/View/ManualEntryDialog.java,11
1214,bug-1214/app/src/main/java/org/shadowice/flocke/andotp/Activities/IntroScreenActivity.java,1
1215,bug-1215/app/src/main/java/org/shadowice/flocke/andotp/Dialogs/ManualEntryDialog.java,5
1224,bug-1224/app/src/main/java/org/gnucash/android/ui/account/AccountFormFragment.java,1
1299,bug-1299/app/src/main/java/com/fieldbook/tracker/activities/ConfigActivity.java,2
1399,bug-1399/app/src/main/java/org/fossasia/phimpme/gallery/activities/SettingsActivity.java,1
1430,bug-1430/app/src/main/java/com/easyfitness/programs/ProgramRunnerFragment.java,3
1441,bug-1441/android/app/src/main/java/com/cohenadair/anglerslog/locations/ManageFishingSpotFragment.java,3
