Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
1096,145,[71],['bug-1096/iNaturalist/src/main/java/org/inaturalist/android/RecordSoundActivity.java'],[71]
1146,33,[16],['bug-1146/GPSTest/src/main/java/com/android/gpstest/GpsStatusFragment.java'],[16]
1147,13,[],[],[]
1151,12,"[3, 4]","['bug-1151/GPSTest/src/main/java/com/android/gpstest/GpsTestActivity.java', 'bug-1151/GPSTest/src/main/java/com/android/gpstest/Preferences.java']","[3, 4]"
1223,89,[],[],[]
1645,9,[],[],[]
106,104,[56],['bug-106/app/src/main/java/com/poupa/vinylmusicplayer/util/FileUtil.java'],[56]
110,34,[],[],[]
168,179,[],[],[]
271,50,[47],['bug-271/app/src/main/java/com/beemdevelopment/aegis/ui/views/TotpProgressBar.java'],[47]
