"Bug Report ID","Ranks-unsorted (Query-Bug Report)","Ranks (Query-Bug Report)","Files (Query-Bug Report)","Ranks-unsorted (Query Replacement)","Ranks (Query Replacement)","Files (Query Replacement)","Ranks-unsorted (Query Expansion 1)","Ranks (Query Expansion 1)","Files (Query Expansion 1)"
"2","[4, 2]","[2, 4]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/HorizontalBarChartFragment.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/PieChartFragment.java]","[6, 11]","[6, 11]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/HorizontalBarChartFragment.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/PieChartFragment.java]","[4, 3]","[3, 4]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/HorizontalBarChartFragment.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/PieChartFragment.java]"
"8","[4]","[4]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-8/app/src/main/java/de/koelle/christian/trickytripper/TrickyTripperActivity.java]","[3]","[3]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-8/app/src/main/java/de/koelle/christian/trickytripper/TrickyTripperActivity.java]","[1]","[1]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-8/app/src/main/java/de/koelle/christian/trickytripper/TrickyTripperActivity.java]"
"10","[2, 5, 3]","[2, 3, 5]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerService.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerReceiver.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerStatePreference.java]","[253, 84, 128]","[84, 128, 253]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerService.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerReceiver.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerStatePreference.java]","[19, 13, 15]","[13, 15, 19]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerService.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerReceiver.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerStatePreference.java]"
"11","[27, 20, 7, 29, 32, 39, 1]","[1, 7, 20, 27, 29, 32, 39]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/PlayActivity.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/MusicDockFragment.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/HomeFragment.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/SplashActivity.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/SongsManager.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/MusicPlayback.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/QueueFragment.java]","[11, 12, 9, 1, 6, 8, 18]","[1, 6, 8, 9, 11, 12, 18]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/PlayActivity.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/MusicDockFragment.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/HomeFragment.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/SplashActivity.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/SongsManager.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/MusicPlayback.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/QueueFragment.java]","[25, 21, 6, 22, 30, 38, 1]","[1, 6, 21, 22, 25, 30, 38]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/PlayActivity.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/MusicDockFragment.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/HomeFragment.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/SplashActivity.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/SongsManager.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/MusicPlayback.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-11/app/src/main/java/com/droidheat/musicplayer/QueueFragment.java]"
"18","[7, 26, 1]","[1, 7, 26]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/RoutineCreateOrEditFragment.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/ScheduleTimetableFragment.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/MedicineCreateOrEditFragment.java]","[52, 12, 1]","[1, 12, 52]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/RoutineCreateOrEditFragment.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/ScheduleTimetableFragment.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/MedicineCreateOrEditFragment.java]","[21, 12, 1]","[1, 12, 21]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/RoutineCreateOrEditFragment.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/ScheduleTimetableFragment.java, /Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/MedicineCreateOrEditFragment.java]"
"19","[11]","[11]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-19/app/src/main/java/de/westnordost/streetcomplete/quests/housenumber/AddHousenumberForm.java]","[6]","[6]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-19/app/src/main/java/de/westnordost/streetcomplete/quests/housenumber/AddHousenumberForm.java]","[3]","[3]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-19/app/src/main/java/de/westnordost/streetcomplete/quests/housenumber/AddHousenumberForm.java]"
"44","[2]","[2]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-44/omniNotes/src/main/java/it/feio/android/omninotes/utils/TagsHelper.java]","[47]","[47]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-44/omniNotes/src/main/java/it/feio/android/omninotes/utils/TagsHelper.java]","[15]","[15]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-44/omniNotes/src/main/java/it/feio/android/omninotes/utils/TagsHelper.java]"
"45","[13]","[13]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-45/omniNotes/src/main/java/it.feio.android.omninotes.helpers/GeocodeProviderBaseFactory.java]","[106]","[106]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-45/omniNotes/src/main/java/it.feio.android.omninotes.helpers/GeocodeProviderBaseFactory.java]","[36]","[36]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-45/omniNotes/src/main/java/it.feio.android.omninotes.helpers/GeocodeProviderBaseFactory.java]"
"53","[1]","[1]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-53/app/src/main/java/net/gsantner/markor/ui/NewFileDialog.java]","[16]","[16]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-53/app/src/main/java/net/gsantner/markor/ui/NewFileDialog.java]","[8]","[8]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-53/app/src/main/java/net/gsantner/markor/ui/NewFileDialog.java]"
"54","[35]","[35]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-54/app/src/main/java/net/gsantner/markor/util/AppSettings.java]","[8]","[8]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-54/app/src/main/java/net/gsantner/markor/util/AppSettings.java]","[9]","[9]","[/Users/sagelab/Documents/Projects/BugLocalization/BuggyProjects/bug-54/app/src/main/java/net/gsantner/markor/util/AppSettings.java]"
