Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
1096,144,[],[],[]
1146,32,[],[],[]
1147,12,[1],['bug-1147/GPSTest/src/main/java/com/android/gpstest/NavigationDrawerFragment.java'],[1]
1151,11,[2],['bug-1151/GPSTest/src/main/java/com/android/gpstest/GpsTestActivity.java'],[2]
1223,87,[],[],[]
1645,10,[4],['bug-1645/app/src/main/java/com/german_software_engineers/trainerapp/ExerciseDialog.java'],[4]
106,104,[97],['bug-106/app/src/main/java/com/poupa/vinylmusicplayer/util/FileUtil.java'],[97]
110,177,[42],['bug-110/app/src/main/java/com/poupa/vinylmusicplayer/provider/Discography.java'],[42]
168,179,[],[],[]
271,50,[35],['bug-271/app/src/main/java/com/beemdevelopment/aegis/ui/views/TotpProgressBar.java'],[35]
