Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
1096,145,[1],['bug-1096/iNaturalist/src/main/java/org/inaturalist/android/RecordSoundActivity.java'],[1]
1146,34,[3],['bug-1146/GPSTest/src/main/java/com/android/gpstest/GpsStatusFragment.java'],[3]
1147,14,[12],['bug-1147/GPSTest/src/main/java/com/android/gpstest/NavigationDrawerFragment.java'],[12]
1151,14,"[3, 8]","['bug-1151/GPSTest/src/main/java/com/android/gpstest/GpsTestActivity.java', 'bug-1151/GPSTest/src/main/java/com/android/gpstest/Preferences.java']","[3, 8]"
1223,96,[5],['bug-1223/app/src/main/java/org/gnucash/android/ui/transaction/TransactionFormFragment.java'],[5]
1645,10,[1],['bug-1645/app/src/main/java/com/german_software_engineers/trainerapp/ExerciseDialog.java'],[1]
106,175,"[31, 98]","['bug-106/app/src/main/java/com/poupa/vinylmusicplayer/loader/SongLoader.java', 'bug-106/app/src/main/java/com/poupa/vinylmusicplayer/util/FileUtil.java']","[31, 98]"
110,177,[97],['bug-110/app/src/main/java/com/poupa/vinylmusicplayer/provider/Discography.java'],[97]
168,364,[295],['bug-168/main/src/cgeo/geocaching/maps/MapProviderFactory.java'],[295]
271,51,[13],['bug-271/app/src/main/java/com/beemdevelopment/aegis/ui/views/TotpProgressBar.java'],[13]
