Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
2,0,[],[],[]
8,9,[],[],[]
10,28,[],[],[]
18,0,[],[],[]
19,0,[],[],[]
44,1,[],[],[]
53,0,[],[],[]
71,0,[],[],[]
117,0,[],[],[]
128,0,[],[],[]
129,1,[1],['bug-129/app/src/main/java/org/shadowice/flocke/andotp/Dialogs/ManualEntryDialog.java'],[1]
130,0,[],[],[]
135,1,[],[],[]
191,0,[],[],[]
201,1,[],[],[]
206,42,[],[],[]
209,2,[],[],[]
256,44,[7],['bug-256/app/src/main/java/org/gnucash/android/ui/account/AccountsListFragment.java'],[7]
1073,0,[],[],[]
1096,0,[],[],[]
1146,0,[],[],[]
1147,1,[1],['bug-1147/GPSTest/src/main/java/com/android/gpstest/NavigationDrawerFragment.java'],[1]
1151,0,[],[],[]
1202,0,[],[],[]
1205,7,"[1, 2, 3, 5, 6, 7]","['bug-1205/app/src/main/java/swati4star/createpdf/fragment/InvertPdfFragment.java', 'bug-1205/app/src/main/java/swati4star/createpdf/fragment/RemoveDuplicatePagesFragment.java', 'bug-1205/app/src/main/java/swati4star/createpdf/fragment/RemovePagesFragment.java', 'bug-1205/app/src/main/java/swati4star/createpdf/fragment/SplitFilesFragment.java', 'bug-1205/app/src/main/java/swati4star/createpdf/fragment/PdfToImageFragment.java', 'bug-1205/app/src/main/java/swati4star/createpdf/fragment/AddImagesFragment.java']","[1, 2, 3, 5, 6, 7]"
1207,1,[1],['bug-1207/app/src/main/java/org/shadowice/flocke/andotp/View/ManualEntryDialog.java'],[1]
1214,0,[],[],[]
1215,1,[1],['bug-1215/app/src/main/java/org/shadowice/flocke/andotp/Dialogs/ManualEntryDialog.java'],[1]
1223,8,[],[],[]
1224,10,[],[],[]
1299,2,[],[],[]
1399,0,[],[],[]
1406,0,[],[],[]
1430,1,[],[],[]
1441,4,[],[],[]
1445,2,[],[],[]
1481,0,[],[],[]
1645,6,[],[],[]
45,14,[4],['bug-45/omniNotes/src/main/java/it.feio.android.omninotes.helpers/GeocodeProviderBaseFactory.java'],[4]
54,0,[],[],[]
76,8,[2],['bug-76/app/src/main/java/com/genonbeta/TrebleShot/adapter/FileListAdapter.java'],[2]
92,0,[],[],[]
101,0,[],[],[]
106,15,[],[],[]
110,0,[],[],[]
158,0,[],[],[]
160,5,[1],['bug-160/AnkiDroid/src/main/java/com/ichi2/anki/Reviewer.java'],[1]
162,2,[],[],[]
168,0,[],[],[]
192,18,[],[],[]
199,2,[],[],[]
200,1,[],[],[]
248,47,[],[],[]
1150,0,[],[],[]
1198,0,[],[],[]
1228,7,[],[],[]
1389,0,[],[],[]
1425,4,[],[],[]
1446,3,[],[],[]
1563,5,[],[],[]
1568,1,[1],['bug-1568/app/src/main/java/io/lerk/lrkFM/adapter/FileArrayAdapter.java'],[1]
1641,6,"[3, 5, 6]","['bug-1641/app/src/main/java/com/german_software_engineers/trainerapp/GeneralTrainingScheduleEditor.java', 'bug-1641/app/src/main/java/com/german_software_engineers/trainerapp/ExerciseViewActivity.java', 'bug-1641/trainerappmodel/src/main/java/com/german_software_engineers/trainerappmodel/Model/XMLParser.java']","[3, 5, 6]"
