Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
1096,195,[3],['bug-1096/iNaturalist/src/main/java/org/inaturalist/android/RecordSoundActivity.java'],[3]
1146,47,[1],['bug-1146/GPSTest/src/main/java/com/android/gpstest/GpsStatusFragment.java'],[1]
1147,19,[2],['bug-1147/GPSTest/src/main/java/com/android/gpstest/NavigationDrawerFragment.java'],[2]
1151,19,"[1, 3]","['bug-1151/GPSTest/src/main/java/com/android/gpstest/Preferences.java', 'bug-1151/GPSTest/src/main/java/com/android/gpstest/GpsTestActivity.java']","[1, 3]"
1223,177,[],[],[]
1645,21,[1],['bug-1645/app/src/main/java/com/german_software_engineers/trainerapp/ExerciseDialog.java'],[1]
106,143,[51],['bug-106/app/src/main/java/com/poupa/vinylmusicplayer/util/FileUtil.java'],[51]
110,221,[67],['bug-110/app/src/main/java/com/poupa/vinylmusicplayer/provider/Discography.java'],[67]
168,600,[],[],[]
271,120,[19],['bug-271/app/src/main/java/com/beemdevelopment/aegis/ui/views/TotpProgressBar.java'],[19]
