Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Number of Identified Bugs,Number of identified buggy files,Hit@10,Number of hits@10
Filtering,All_GUI_Component_IDs,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,3,80,130,0.85,68
Filtering,All_GUI_Component_IDs,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,4,80,130,0.85,68
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,2,80,129,0.85,68
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,3,80,130,0.85,68
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,4,80,131,0.85,68
Filtering,GUI_States,NO,All_GUI_Component_IDs,None,2,32,33,0.4,32
Filtering,GUI_States,NO,All_GUI_Component_IDs,None,3,34,35,0.425,34
Filtering,GUI_States,NO,All_GUI_Component_IDs,None,4,36,38,0.45,36
Filtering,Interacted_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,2,18,18,0.2,16
Filtering,Interacted_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,33,43,0.3625,29
Filtering,Interacted_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,4,36,46,0.4,32
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,2,37,38,0.4375,35
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,50,62,0.575,46
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,4,52,65,0.6,48
Filtering,All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,2,80,129,0.85,68
Filtering,All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,80,130,0.825,66
Filtering,All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,4,80,130,0.825,66
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,2,80,129,0.85,68
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,80,130,0.825,66
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,4,80,131,0.825,66
Filtering,GUI_States,NO,GUI_State_and_All_GUI_Component_IDs,None,2,32,33,0.4,32
Filtering,GUI_States,NO,GUI_State_and_All_GUI_Component_IDs,None,3,34,35,0.425,34
Filtering,GUI_States,NO,GUI_State_and_All_GUI_Component_IDs,None,4,36,38,0.45,36
Filtering,Interacted_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,2,18,18,0.2,16
Filtering,Interacted_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,3,33,43,0.3625,29
Filtering,Interacted_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,4,36,46,0.4,32
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,2,37,38,0.4375,35
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,3,50,62,0.575,46
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,4,52,65,0.6,48
Filtering,All_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,2,80,129,0.8625,69
Filtering,All_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,3,80,130,0.85,68
Filtering,All_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,4,80,130,0.85,68
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,2,80,129,0.8625,69
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,3,80,130,0.85,68
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,4,80,131,0.85,68
Filtering,GUI_States,NO,None,GUI_States,2,32,33,0.4,32
Filtering,GUI_States,NO,None,GUI_States,3,34,35,0.425,34
Filtering,GUI_States,NO,None,GUI_States,4,36,38,0.45,36
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_States,2,16,15,0.175,14
