Bug Report ID,Ranks-unsorted,Ranks,Files
2,[],[],[]
8,[10],[10],['de.koelle.christian.trickytripper.TrickyTripperActivity.java']
10,[],[],[]
18,[2],[2],['es.usc.citius.servando.calendula.fragments.MedicineCreateOrEditFragment.java']
19,[1],[1],['de.westnordost.streetcomplete.quests.housenumber.AddHousenumberForm.java']
44,[],[],[]
53,[19],[19],['net.gsantner.markor.ui.NewFileDialog.java']
117,[7],[7],['openfoodfacts.github.scrachx.openfood.views.product.nutrition.NutritionProductFragment.java']
128,[1],[1],['org.shadowice.flocke.andotp.Activities.SettingsActivity.java']
129,[1],[1],['org.shadowice.flocke.andotp.Dialogs.ManualEntryDialog.java']
130,[1],[1],['org.shadowice.flocke.andotp.Activities.IntroScreenActivity.java']
135,[4],[4],['fr.free.nrw.commons.category.SubCategoryListFragment.java']
191,[],[],[]
206,[2],[2],['org.gnucash.android.ui.settings.BookManagerFragment.java']
209,[],[],[]
256,[15],[15],['org.gnucash.android.ui.account.AccountsListFragment.java']
1073,[],[],[]
1202,[1],[1],['swati4star.createpdf.activity.ImageEditor.java']
1205,"[3, 4, 5, 6, 7, 8, 9, 13]","[3, 4, 5, 6, 7, 8, 9, 13]","['swati4star.createpdf.fragment.MergeFilesFragment.java', 'swati4star.createpdf.fragment.InvertPdfFragment.java', 'swati4star.createpdf.fragment.RemoveDuplicatePagesFragment.java', 'swati4star.createpdf.fragment.SplitFilesFragment.java', 'swati4star.createpdf.fragment.PdfToImageFragment.java', 'swati4star.createpdf.fragment.RemovePagesFragment.java', 'swati4star.createpdf.fragment.AddImagesFragment.java', 'swati4star.createpdf.activity.MainActivity.java']"
1207,[1],[1],['org.shadowice.flocke.andotp.View.ManualEntryDialog.java']
1214,[],[],[]
1215,[],[],[]
1224,[1],[1],['org.gnucash.android.ui.account.AccountFormFragment.java']
1299,[5],[5],['com.fieldbook.tracker.activities.ConfigActivity.java']
1399,[1],[1],['org.fossasia.phimpme.gallery.activities.SettingsActivity.java']
1430,[2],[2],['com.easyfitness.programs.ProgramPagerFragment.java']
1441,[],[],[]
1445,[],[],[]
1481,[3],[3],['com.hexforhn.hex.StoryActivity.java']
54,[],[],[]
76,[9],[9],['com.genonbeta.TrebleShot.adapter.FileListAdapter.java']
92,[],[],[]
158,[],[],[]
160,[],[],[]
162,[1],[1],['com.fsck.k9.activity.setup.AccountSetupBasics.java']
192,[2],[2],['net.gsantner.markor.activity.DocumentEditFragment.java']
199,[4],[4],['org.inaturalist.android.ObservationListActivity.java']
200,[2],[2],['org.inaturalist.android.ObservationListActivity.java']
248,[],[],[]
1198,[],[],[]
1228,[11],[11],['org.gnucash.android.ui.transaction.TransactionDetailActivity.java']
1389,[],[],[]
1425,[],[],[]
1446,[],[],[]
1563,[4],[4],['io.lerk.lrkFM.activities.FileActivity.java']
1568,[],[],[]
11,"[2, 3]","[2, 3]","['com.droidheat.musicplayer.MusicDockFragment.java', 'com.droidheat.musicplayer.SplashActivity.java']"
55,[],[],[]
56,[],[],[]
227,"[2, 4]","[2, 4]","['org.gnucash.android.ui.transaction.TransactionFormFragment.java', 'org.gnucash.android.ui.transaction.SplitEditorFragment.java']"
1213,[],[],[]
1222,[],[],[]
1428,[2],[2],['com.easyfitness.bodymeasures.BodyPartDetailsFragment.java']
84,[],[],[]
87,[],[],[]
159,[3],[3],['com.ichi2.anki.CardBrowser.java']
193,[1],[1],['com.alexstyl.specialdates.addevent.ui.BirthdayDatePicker.java']
275,[],[],[]
1028,[],[],[]
1089,[3],[3],['com.chess.clock.fragments.TimeControlFragment.java']
1130,[3],[3],['de.danoeh.antennapod.fragment.QueueFragment.java']
1402,[5],[5],['org.fossasia.phimpme.share.SharingActivity.java']
1403,[],[],[]
71,[],[],[]
201,[2],[2],['org.inaturalist.android.ObservationListActivity.java']
1641,[],[],[]
1096,[1],[1],['org.inaturalist.android.RecordSoundActivity.java']
1146,[2],[2],['com.android.gpstest.GpsStatusFragment.java']
1147,[1],[1],['com.android.gpstest.NavigationDrawerFragment.java']
1151,"[1, 2]","[1, 2]","['com.android.gpstest.GpsTestActivity.java', 'com.android.gpstest.Preferences.java']"
1223,[2],[2],['org.gnucash.android.ui.transaction.TransactionFormFragment.java']
1645,[],[],[]
106,[48],[48],['com.poupa.vinylmusicplayer.loader.SongLoader.java']
110,[],[],[]
168,[],[],[]
271,[],[],[]
1406,[1],[1],['org.fossasia.phimpme.gallery.activities.SingleMediaActivity.java']
45,[14],[14],['it.feio.android.omninotes.helpers.GeocodeProviderBaseFactory.java']
1640,[],[],[]
1150,[8],[8],['com.android.gpstest.HelpActivity.java']
